Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Merchant_Category,Monthly_Income,Account_Balance,KYC_Status,Region,Risk_Level,Card_Type,Spending_Level,Gender,Age
CUST3044,01-03-2025,9803.13,Credit,Groceries,59197,9446.38,Pending,South,Low,Silver,Moderate,Male,48
CUST4914,27-02-2025,3554.14,Credit,Healthcare,32491,23133.49,Completed,East,Medium,Platinum,Moderate,Female,68
CUST8955,11-04-2025,1622.8,Credit,Restaurants,196126,2074.16,Completed,East,Low,Platinum,Moderate,Female,26
CUST9580,27-01-2025,6123.44,Credit,Groceries,194936,29935.4,Pending,North,Low,Silver,Low,Female,21
CUST7545,03-09-2024,5978.86,Debit,Healthcare,89837,24130.94,Pending,North,Low,Gold,Low,Female,30
CUST6754,27-04-2025,4386.78,Debit,Entertainment,67867,4978.16,Completed,West,Low,Silver,Low,Other,37
CUST1671,12-06-2025,9062.07,Credit,Healthcare,58519,21744.22,Pending,North,Low,Gold,Moderate,Other,44
CUST3555,23-07-2024,8010.76,Debit,Groceries,58365,2987.55,Completed,South,Low,Gold,Low,Male,60
CUST5210,26-01-2025,1210.33,Debit,Healthcare,89980,5076.55,Not Started,West,Medium,Platinum,Low,Female,37
CUST4233,26-03-2025,1330.78,Credit,Restaurants,157479,21934.92,Not Started,West,Low,Silver,Low,Female,23
CUST8541,06-02-2025,609.92,Debit,Healthcare,29132,9510.89,Pending,South,Low,Gold,Low,Other,39
CUST6952,06-04-2025,4776.64,Debit,Healthcare,67573,614.25,Completed,North,Medium,Gold,Moderate,Other,32
CUST9317,31-01-2025,701.76,Debit,Entertainment,160261,16498.8,Completed,West,Low,Platinum,Moderate,Other,64
CUST3694,29-07-2024,9082.86,Debit,Online Shopping,56523,15027.54,Completed,West,Low,Gold,Low,Other,25
CUST9273,03-11-2024,7877.12,Credit,Travel,92452,13615.55,Pending,South,Low,Silver,Low,Other,33
CUST8181,26-08-2024,1058.36,Credit,Bills,76685,25625.39,Completed,East,Low,Gold,Moderate,Male,45
CUST1453,19-03-2025,1812.39,Debit,Online Shopping,125539,1387.12,Completed,East,Low,Platinum,High,Female,41
CUST9364,28-06-2025,4590.29,Debit,Bills,199182,29240.71,Completed,South,Low,Gold,Low,Female,45
CUST9195,21-03-2025,5107.36,Credit,Restaurants,179589,20894.01,Completed,North,Low,Gold,Moderate,Female,55
CUST3964,27-12-2024,637.96,Credit,Healthcare,184936,18610.62,Completed,East,Low,Platinum,Moderate,Other,20
CUST2098,09-08-2024,840,Credit,Online Shopping,173238,28240.23,Completed,North,Low,Silver,Low,Other,69
CUST5042,16-05-2025,6486.7,Credit,Entertainment,123208,14162.8,Pending,South,Low,Gold,Low,Male,39
CUST9702,23-08-2024,9538.21,Credit,Bills,71175,22334.31,Not Started,East,Low,Gold,High,Other,69
CUST3073,04-06-2025,8661.23,Debit,Bills,87000,10256.71,Pending,West,Low,Gold,Low,Male,68
CUST8945,05-07-2025,390.61,Debit,Groceries,116784,14896.12,Not Started,South,Low,Platinum,Moderate,Female,24
CUST1841,21-05-2025,1754.45,Debit,Restaurants,160018,15835.11,Completed,West,Medium,Gold,Moderate,Female,46
CUST2977,05-02-2025,2776.54,Debit,Healthcare,79159,21367.71,Pending,East,Medium,Gold,High,Other,50
CUST1394,06-11-2024,9995.94,Credit,Healthcare,178984,10515.59,Pending,South,Low,Gold,High,Other,52
CUST8606,22-11-2024,9496.98,Debit,Online Shopping,70415,10418.51,Completed,North,Low,Silver,Low,Female,55
CUST6694,01-10-2024,8950.95,Credit,Online Shopping,182414,19280.19,Completed,West,Low,Silver,Moderate,Other,30
CUST1212,11-01-2025,1873.41,Debit,Entertainment,63217,710.47,Completed,South,Low,Gold,Low,Female,58
CUST3521,18-02-2025,4497.96,Debit,Bills,144689,16065.54,Pending,East,Medium,Silver,Moderate,Other,45
CUST5807,21-10-2024,1539.7,Credit,Groceries,62779,9124,Completed,East,Low,Gold,Low,Other,60
CUST7701,28-10-2024,1680.43,Debit,Groceries,88330,8029.74,Pending,East,Low,Gold,Moderate,Other,22
CUST6170,17-10-2024,2001.49,Debit,Online Shopping,93127,5432.65,Not Started,North,Low,Silver,Low,Other,67
CUST6915,12-04-2025,5362.37,Credit,Healthcare,169811,950.85,Completed,East,Medium,Silver,Low,Male,20
CUST1823,06-08-2024,1649.19,Credit,Healthcare,109446,6801.41,Completed,South,Medium,Platinum,Moderate,Female,18
CUST1140,22-03-2025,7343.55,Credit,Travel,168762,7007.09,Completed,West,Low,Gold,Low,Other,38
CUST4632,11-08-2024,7212.55,Credit,Online Shopping,63612,7609.5,Completed,West,Low,Gold,Moderate,Other,29
CUST6438,15-04-2025,9004.33,Debit,Groceries,171559,5260.01,Pending,South,Low,Platinum,Moderate,Female,50
